,ID,Nome,Sobrenome,Idade,Sexo,Produto,Valor,Forma_pag,Qte_vz,Data_compra
66,66,Alice,Castro,55,F,sapatos,405.05,parcelado,3,21-4-2019
67,67,Alice,Cruz,50,F,acessorios,479.27,avista,nan,5-7-2018
68,68,Alice,Dias,51,F,chapeus,589.89,avista,nan,6-10-2018
69,69,Alice,Duarte,26,F,acessorios,538.63,parcelado,3,31-6-2018
70,70,Alice,Esteves,43,F,chapeus,48.23,avista,nan,30-8-2020
71,71,Alice,Faria,41,F,acessorios,333.22,avista,nan,11-8-2018
72,72,Alice,Faro,18,F,sapatos,479.78,parcelado,3,1-7-2019
73,73,Alice,Fontes,24,F,roupas,1447.78,avista,nan,13-1-2018
74,74,Alice,Freire,49,F,lencos,309.33,parcelado,2,31-5-2019
75,75,Alice,Gama,54,F,acessorios,1481.54,parcelado,4,30-9-2019
76,76,Alice,Junqueira,22,F,roupas,56.99,avista,nan,9-4-2020
77,77,Alice,Leite,47,F,chapeus,1054.94,parcelado,6,29-1-2019
78,78,Alice,Lopes,40,F,roupas,970.77,avista,nan,22-11-2019
79,79,Alice,Mendes,40,F,roupas,805.62,avista,nan,30-3-2019
80,80,Alice,Morais,26,F,chapeus,18.23,avista,nan,31-7-2020
81,81,Alice,Martins,53,F,lencos,921.40,avista,nan,15-1-2019
82,82,Alice,Muniz,28,F,sapatos,106.23,parcelado,6,15-4-2020
83,83,Alice,Neves,45,F,lencos,242.25,parcelado,2,8-7-2018
84,84,Alice,Nunes,41,F,sapatos,970.88,avista,nan,14-2-2019
85,85,Alice,Paes,39,F,lencos,730.08,avista,nan,22-6-2018
86,86,Alice,Pires,37,F,lencos,1112.19,parcelado,2,15-8-2020
87,87,Alice,Queiroz,38,F,chapeus,1319.90,avista,nan,20-2-2018
88,88,Alice,Reis,26,F,roupas,1453.36,parcelado,2,8-5-2020
89,89,Alice,Rios,36,F,sapatos,867.66,avista,nan,18-6-2018
90,90,Alice,Serra,26,F,sapatos,747.71,avista,nan,17-2-2019
91,91,Alice,Silva,28,F,lencos,684.75,parcelado,6,23-4-2018
92,92,Alice,Sousa,27,F,chapeus,1419.51,parcelado,4,24-11-2019
93,93,Alice,Teles,51,F,lencos,1387.27,parcelado,5,17-2-2019
94,94,Alice,Trindade,37,F,acessorios,1258.79,parcelado,3,19-6-2018
95,95,Alice,Vaz,50,F,acessorios,934.97,avista,nan,8-5-2020
96,96,Alicia,Abreu,24,F,acessorios,734.08,parcelado,6,20-7-2020
97,97,Alicia,Aguiar,50,F,sapatos,1287.07,avista,nan,22-9-2020
98,98,Alicia,Albuquerque,37,F,lencos,793.05,avista,nan,8-11-2018
99,99,Alicia,Alencar,18,F,acessorios,1345.22,avista,nan,19-12-2020
100,100,Alicia,Almeida,52,F,acessorios,1483.85,parcelado,6,31-12-2018
101,101,Alicia,Alvarenga,50,F,chapeus,664.69,parcelado,2,16-8-2020
102,102,Alicia,Alves,21,F,roupas,1328.78,parcelado,4,7-11-2019
103,103,Alicia,Amaral,30,F,lencos,480.66,parcelado,5,19-9-2018
104,104,Alicia,Andrade,18,F,lencos,706.21,avista,nan,8-1-2019
105,105,Alicia,Anjos,31,F,sapatos,1009.19,avista,nan,10-1-2020
106,106,Alicia,Assis,24,F,acessorios,720.59,parcelado,6,13-8-2018
107,107,Alicia,Azevedo,38,F,sapatos,1099.88,avista,nan,22-2-2018
108,108,Alicia,Barbosa,19,F,sapatos,119.46,parcelado,6,28-10-2019
109,109,Alicia,Barros,34,F,roupas,338.15,parcelado,3,7-3-2018
110,110,Alicia,Bernardes,39,F,roupas,791.80,parcelado,3,29-10-2019
111,111,Alicia,Brasil,36,F,chapeus,451.38,parcelado,6,10-9-2019
112,112,Alicia,Cabral,49,F,lencos,732.20,avista,nan,23-7-2020
113,113,Alicia,Carvalho,54,F,sapatos,547.04,avista,nan,22-6-2020
114,114,Alicia,Castro,29,F,sapatos,778.94,avista,nan,2-12-2020
115,115,Alicia,Cruz,22,F,roupas,421.15,parcelado,6,15-11-2019
116,116,Alicia,Dias,50,F,roupas,770.91,parcelado,3,8-2-2020
117,117,Alicia,Duarte,31,F,sapatos,1199.52,avista,nan,24-10-2019
118,118,Alicia,Esteves,30,F,sapatos,163.58,avista,nan,25-8-2019
119,119,Alicia,Faria,38,F,chapeus,654.76,parcelado,6,21-10-2019
120,120,Alicia,Faro,43,F,lencos,1234.96,avista,nan,29-11-2019
121,121,Alicia,Fontes,37,F,sapatos,729.69,avista,nan,17-10-2018
122,122,Alicia,Freire,41,F,sapatos,1338.20,avista,nan,14-5-2018
123,123,Alicia,Gama,39,F,roupas,950.84,avista,nan,3-6-2019
124,124,Alicia,Junqueira,34,F,sapatos,184.15,parcelado,5,2-1-2020
125,125,Alicia,Leite,23,F,chapeus,473.09,parcelado,6,3-11-2018
126,126,Alicia,Lopes,20,F,lencos,967.66,parcelado,6,19-1-2020
127,127,Alicia,Mendes,25,F,roupas,1355.58,parcelado,5,9-6-2019
128,128,Alicia,Morais,26,F,roupas,937.48,parcelado,3,6-9-2018
129,129,Alicia,Martins,25,F,acessorios,1449.45,parcelado,3,12-3-2019
130,130,Alicia,Muniz,48,F,acessorios,628.12,avista,nan,29-2-2018
131,131,Alicia,Neves,34,F,roupas,128.54,parcelado,4,31-11-2020
132,132,Alicia,Nunes,39,F,lencos,126.46,parcelado,6,3-3-2019
133,133,Alicia,Paes,54,F,sapatos,279.65,parcelado,5,11-8-2020
134,134,Alicia,Pires,36,F,sapatos,721.17,parcelado,5,26-7-2018
135,135,Alicia,Queiroz,38,F,sapatos,1006.86,avista,nan,1-7-2020
136,136,Alicia,Reis,41,F,lencos,1272.53,avista,nan,20-9-2018
137,137,Alicia,Rios,37,F,lencos,55.53,parcelado,3,17-7-2020
138,138,Alicia,Serra,35,F,lencos,1159.87,parcelado,5,31-5-2020
139,139,Alicia,Silva,35,F,chapeus,389.09,avista,nan,2-2-2020
140,140,Alicia,Sousa,43,F,roupas,283.34,parcelado,5,18-8-2020
141,141,Alicia,Teles,34,F,chapeus,555.89,avista,nan,17-1-2018
142,142,Alicia,Trindade,28,F,sapatos,301.43,parcelado,5,26-4-2020
143,143,Alicia,Vaz,45,F,lencos,1081.00,avista,nan,22-5-2018
144,144,Allana,Abreu,54,F,lencos,1017.87,parcelado,6,28-3-2020
145,145,Allana,Aguiar,51,F,sapatos,280.20,parcelado,6,14-1-2020
146,146,Allana,Albuquerque,40,F,sapatos,253.22,avista,nan,14-9-2018
147,147,Allana,Alencar,50,F,acessorios,1392.20,avista,nan,7-10-2020
148,148,Allana,Almeida,21,F,sapatos,57.61,parcelado,6,2-8-2020
149,149,Allana,Alvarenga,52,F,acessorios,1122.97,avista,nan,14-1-2020
150,150,Allana,Alves,48,F,sapatos,1490.36,avista,nan,13-2-2018
151,151,Allana,Amaral,20,F,acessorios,86.89,avista,nan,25-10-2018
152,152,Allana,Andrade,39,F,lencos,135.44,avista,nan,21-1-2019
153,153,Allana,Anjos,43,F,roupas,1010.11,avista,nan,26-1-2020
154,154,Allana,Assis,45,F,chapeus,1220.53,parcelado,6,30-10-2019
155,155,Allana,Azevedo,41,F,lencos,607.87,avista,nan,15-7-2019
156,156,Allana,Barbosa,34,F,roupas,896.01,parcelado,5,8-10-2020
157,157,Allana,Barros,24,F,acessorios,27.38,avista,nan,13-6-2019
158,158,Allana,Bernardes,27,F,roupas,1202.42,parcelado,6,23-4-2019
159,159,Allana,Brasil,28,F,acessorios,1175.79,avista,nan,10-11-2018
160,160,Allana,Cabral,19,F,lencos,1180.28,parcelado,2,11-6-2018
161,161,Allana,Carvalho,21,F,sapatos,1344.98,parcelado,4,30-11-2018
162,162,Allana,Castro,37,F,roupas,31.11,avista,nan,20-5-2019
163,163,Allana,Cruz,52,F,lencos,459.66,parcelado,4,5-5-2020
164,164,Allana,Dias,23,F,acessorios,509.87,avista,nan,1-6-2020
165,165,Allana,Duarte,43,F,sapatos,480.37,avista,nan,3-12-2019
166,166,Allana,Esteves,52,F,roupas,93.03,parcelado,2,3-9-2020
167,167,Allana,Faria,54,F,roupas,935.72,avista,nan,5-2-2019
168,168,Allana,Faro,53,F,sapatos,1252.55,parcelado,3,30-10-2020
169,169,Allana,Fontes,18,F,lencos,876.34,avista,nan,17-1-2020
170,170,Allana,Freire,23,F,sapatos,647.32,parcelado,6,9-2-2018
171,171,Allana,Gama,34,F,acessorios,1254.81,avista,nan,22-1-2018
172,172,Allana,Junqueira,36,F,lencos,503.55,avista,nan,29-10-2020
173,173,Allana,Leite,34,F,lencos,734.60,parcelado,3,15-5-2018
174,174,Allana,Lopes,39,F,chapeus,786.35,parcelado,6,9-8-2020
175,175,Allana,Mendes,53,F,lencos,644.55,parcelado,5,1-4-2020
176,176,Allana,Morais,42,F,roupas,441.94,parcelado,3,11-1-2019
177,177,Allana,Martins,36,F,chapeus,624.36,parcelado,2,31-3-2020
178,178,Allana,Muniz,23,F,roupas,1212.51,avista,nan,29-6-2018
179,179,Allana,Neves,30,F,lencos,1276.10,parcelado,3,19-11-2019
180,180,Allana,Nunes,33,F,sapatos,1405.41,parcelado,5,31-2-2018
181,181,Allana,Paes,32,F,chapeus,1020.43,parcelado,4,20-6-2020
182,182,Allana,Pires,21,F,acessorios,1322.32,parcelado,2,24-8-2019
183,183,Allana,Queiroz,51,F,acessorios,221.13,avista,nan,18-1-2020
184,184,Allana,Reis,29,F,roupas,1374.47,parcelado,4,30-7-2020
185,185,Allana,Rios,54,F,lencos,324.39,parcelado,6,17-5-2019
186,186,Allana,Serra,23,F,lencos,1219.74,avista,nan,5-5-2020
187,187,Allana,Silva,32,F,sapatos,172.30,avista,nan,3-4-2018
188,188,Allana,Sousa,43,F,acessorios,746.23,avista,nan,5-11-2018
189,189,Allana,Teles,39,F,acessorios,674.53,parcelado,3,20-1-2019
190,190,Allana,Trindade,21,F,chapeus,1202.52,parcelado,5,22-7-2018
191,191,Allana,Vaz,39,F,lencos,1347.12,parcelado,5,11-9-2019
192,192,Amanda,Abreu,31,F,sapatos,1497.29,avista,nan,26-10-2018
193,193,Amanda,Aguiar,53,F,lencos,1050.49,parcelado,5,5-9-2019
194,194,Amanda,Albuquerque,25,F,lencos,504.98,parcelado,6,10-12-2018
195,195,Amanda,Alencar,35,F,chapeus,320.54,parcelado,4,30-2-2019
196,196,Amanda,Almeida,43,F,sapatos,1000.43,avista,nan,14-8-2019
197,197,Amanda,Alvarenga,55,F,sapatos,477.47,parcelado,5,2-1-2020
198,198,Amanda,Alves,44,F,roupas,890.09,parcelado,3,1-12-2020
199,199,Amanda,Amaral,30,F,sapatos,113.67,avista,nan,30-6-2020
200,200,Amanda,Andrade,47,F,acessorios,1040.49,parcelado,6,16-5-2020
201,201,Amanda,Anjos,52,F,sapatos,1331.33,parcelado,3,23-5-2020
202,202,Amanda,Assis,53,F,lencos,967.94,avista,nan,26-5-2020
203,203,Amanda,Azevedo,50,F,sapatos,174.48,avista,nan,9-2-2020
204,204,Amanda,Barbosa,55,F,chapeus,629.78,parcelado,4,13-3-2018
205,205,Amanda,Barros,21,F,roupas,147.41,avista,nan,24-8-2020
206,206,Amanda,Bernardes,35,F,roupas,45.82,parcelado,4,16-6-2019
207,207,Amanda,Brasil,19,F,chapeus,334.33,avista,nan,25-10-2018
208,208,Amanda,Cabral,18,F,lencos,513.17,avista,nan,5-8-2018
209,209,Amanda,Carvalho,46,F,chapeus,856.76,avista,nan,1-9-2018
210,210,Amanda,Castro,55,F,acessorios,626.00,avista,nan,15-8-2020
211,211,Amanda,Cruz,26,F,roupas,871.85,avista,nan,1-1-2020
212,212,Amanda,Dias,55,F,acessorios,294.29,parcelado,3,10-4-2020
213,213,Amanda,Duarte,37,F,acessorios,1166.54,parcelado,6,20-8-2020
214,214,Amanda,Esteves,29,F,roupas,607.56,parcelado,2,27-5-2019
215,215,Amanda,Faria,51,F,lencos,85.95,avista,nan,27-5-2020
216,216,Amanda,Faro,36,F,roupas,1039.12,parcelado,3,8-3-2020
217,217,Amanda,Fontes,52,F,lencos,1358.25,avista,nan,20-10-2018
218,218,Amanda,Freire,48,F,acessorios,1334.14,avista,nan,13-5-2019
219,219,Amanda,Gama,28,F,chapeus,620.90,avista,nan,9-5-2020
220,220,Amanda,Junqueira,32,F,lencos,1071.06,avista,nan,22-4-2019
221,221,Amanda,Leite,45,F,roupas,280.24,parcelado,5,23-12-2020
222,222,Amanda,Lopes,54,F,chapeus,328.19,parcelado,5,17-8-2020
223,223,Amanda,Mendes,45,F,acessorios,738.12,avista,nan,29-8-2019
224,224,Amanda,Morais,36,F,sapatos,1355.22,avista,nan,25-8-2020
225,225,Amanda,Martins,32,F,chapeus,36.84,avista,nan,11-7-2018
226,226,Amanda,Muniz,49,F,roupas,71.46,parcelado,5,11-1-2018
227,227,Amanda,Neves,22,F,roupas,812.13,avista,nan,16-5-2018
228,228,Amanda,Nunes,53,F,lencos,1121.01,parcelado,3,29-4-2018
229,229,Amanda,Paes,31,F,roupas,1132.64,avista,nan,14-5-2018
230,230,Amanda,Pires,24,F,roupas,302.07,avista,nan,19-6-2020
231,231,Amanda,Queiroz,51,F,acessorios,899.93,parcelado,2,5-9-2020
232,232,Amanda,Reis,19,F,roupas,1103.05,parcelado,3,23-1-2020
233,233,Amanda,Rios,53,F,acessorios,390.33,avista,nan,29-12-2018
234,234,Amanda,Serra,19,F,roupas,1221.49,parcelado,6,13-4-2019
235,235,Amanda,Silva,45,F,chapeus,1272.91,parcelado,5,2-8-2020
236,236,Amanda,Sousa,34,F,lencos,599.40,avista,nan,15-2-2018
237,237,Amanda,Teles,51,F,roupas,785.64,parcelado,2,31-9-2018
238,238,Amanda,Trindade,50,F,chapeus,648.12,avista,nan,15-12-2018
239,239,Amanda,Vaz,37,F,roupas,1471.35,parcelado,4,3-1-2018
240,240,Ana,Abreu,44,F,roupas,1492.55,avista,nan,21-5-2018
241,241,Ana,Aguiar,38,F,acessorios,1030.18,avista,nan,14-1-2018
242,242,Ana,Albuquerque,48,F,sapatos,608.34,parcelado,5,14-6-2018
243,243,Ana,Alencar,52,F,chapeus,445.81,parcelado,3,11-1-2020
244,244,Ana,Almeida,55,F,roupas,188.91,parcelado,2,17-11-2020
245,245,Ana,Alvarenga,36,F,lencos,1061.55,parcelado,6,6-7-2019
246,246,Ana,Alves,54,F,sapatos,446.76,parcelado,4,16-10-2019
247,247,Ana,Amaral,41,F,sapatos,465.68,parcelado,2,20-10-2018
248,248,Ana,Andrade,31,F,roupas,897.02,avista,nan,6-5-2020
249,249,Ana,Anjos,29,F,acessorios,355.32,avista,nan,20-6-2018
250,250,Ana,Assis,31,F,acessorios,67.42,avista,nan,27-12-2018
251,251,Ana,Azevedo,22,F,acessorios,322.68,avista,nan,29-8-2020
252,252,Ana,Barbosa,38,F,chapeus,891.71,parcelado,6,19-3-2020
253,253,Ana,Barros,47,F,chapeus,1447.43,avista,nan,11-8-2019
254,254,Ana,Bernardes,43,F,sapatos,797.39,avista,nan,11-6-2019
255,255,Ana,Brasil,29,F,roupas,940.79,parcelado,6,28-9-2019
256,256,Ana,Cabral,53,F,acessorios,511.26,parcelado,6,17-12-2018
257,257,Ana,Carvalho,42,F,sapatos,145.13,avista,nan,20-1-2018
258,258,Ana,Castro,40,F,lencos,1283.75,avista,nan,6-8-2019
259,259,Ana,Cruz,28,F,lencos,1421.17,avista,nan,27-10-2020
260,260,Ana,Dias,42,F,lencos,948.66,parcelado,4,2-5-2018
261,261,Ana,Duarte,39,F,chapeus,557.33,parcelado,5,25-12-2020
262,262,Ana,Esteves,43,F,sapatos,567.10,parcelado,5,12-9-2019
263,263,Ana,Faria,43,F,roupas,1455.13,parcelado,3,17-12-2020
264,264,Ana,Faro,31,F,roupas,1090.89,parcelado,2,24-12-2019
265,265,Ana,Fontes,20,F,chapeus,216.09,parcelado,2,5-10-2020
266,266,Ana,Freire,42,F,lencos,1315.95,avista,nan,26-12-2019
267,267,Ana,Gama,31,F,acessorios,312.33,parcelado,3,8-9-2020
268,268,Ana,Junqueira,31,F,acessorios,841.36,avista,nan,29-1-2018
269,269,Ana,Leite,20,F,acessorios,207.00,avista,nan,30-3-2019
270,270,Ana,Lopes,33,F,roupas,970.91,avista,nan,23-8-2020
271,271,Ana,Mendes,21,F,chapeus,883.12,avista,nan,1-8-2020
272,272,Ana,Morais,54,F,acessorios,1215.79,avista,nan,12-11-2020
273,273,Ana,Martins,34,F,roupas,740.02,avista,nan,11-2-2018
274,274,Ana,Muniz,25,F,sapatos,353.17,avista,nan,23-6-2018
275,275,Ana,Neves,28,F,lencos,1202.00,parcelado,2,9-4-2018
276,276,Ana,Nunes,54,F,roupas,866.58,parcelado,2,28-12-2019
277,277,Ana,Paes,55,F,chapeus,69.39,parcelado,5,14-3-2020
278,278,Ana,Pires,18,F,acessorios,1035.14,parcelado,6,28-6-2018
279,279,Ana,Queiroz,21,F,chapeus,1066.46,avista,nan,5-5-2018
280,280,Ana,Reis,42,F,sapatos,517.24,parcelado,5,27-11-2018
281,281,Ana,Rios,28,F,roupas,1329.53,avista,nan,13-11-2020
282,282,Ana,Serra,36,F,lencos,772.83,avista,nan,8-1-2019
283,283,Ana,Silva,25,F,acessorios,78.58,avista,nan,3-3-2018
284,284,Ana,Sousa,47,F,lencos,594.02,avista,nan,8-4-2019
285,285,Ana,Teles,38,F,sapatos,358.55,parcelado,4,24-10-2020
286,286,Ana,Trindade,23,F,roupas,160.91,parcelado,6,30-4-2020
287,287,Ana,Vaz,24,F,lencos,665.92,avista,nan,15-12-2019
288,288,Ana Beatriz,Abreu,36,F,sapatos,1491.90,avista,nan,20-3-2020
289,289,Ana Beatriz,Aguiar,26,F,chapeus,1332.64,parcelado,6,20-8-2020
290,290,Ana Beatriz,Albuquerque,36,F,lencos,771.49,avista,nan,8-4-2019
291,291,Ana Beatriz,Alencar,54,F,lencos,1154.97,avista,nan,26-4-2019
292,292,Ana Beatriz,Almeida,24,F,sapatos,1253.32,avista,nan,19-7-2020
293,293,Ana Beatriz,Alvarenga,51,F,chapeus,130.39,parcelado,4,12-7-2018
294,294,Ana Beatriz,Alves,52,F,acessorios,1136.29,avista,nan,3-7-2018
295,295,Ana Beatriz,Amaral,26,F,sapatos,1401.29,parcelado,6,15-11-2020
296,296,Ana Beatriz,Andrade,21,F,roupas,203.48,avista,nan,27-2-2019
297,297,Ana Beatriz,Anjos,35,F,chapeus,1299.82,parcelado,4,3-6-2018
298,298,Ana Beatriz,Assis,47,F,sapatos,1419.41,avista,nan,24-3-2018
299,299,Ana Beatriz,Azevedo,27,F,roupas,1145.85,avista,nan,27-2-2019
300,300,Ana Beatriz,Barbosa,35,F,chapeus,1377.76,avista,nan,10-5-2019
301,301,Ana Beatriz,Barros,38,F,sapatos,61.52,parcelado,3,4-12-2020
302,302,Ana Beatriz,Bernardes,42,F,roupas,651.95,avista,nan,23-8-2018
303,303,Ana Beatriz,Brasil,39,F,lencos,679.52,avista,nan,11-12-2019
304,304,Ana Beatriz,Cabral,35,F,acessorios,1305.19,avista,nan,15-8-2020
305,305,Ana Beatriz,Carvalho,47,F,lencos,972.84,parcelado,4,5-4-2019
306,306,Ana Beatriz,Castro,18,F,chapeus,327.30,avista,nan,14-5-2018
307,307,Ana Beatriz,Cruz,37,F,roupas,295.92,avista,nan,10-4-2019
308,308,Ana Beatriz,Dias,55,F,sapatos,43.41,parcelado,2,30-12-2020
309,309,Ana Beatriz,Duarte,46,F,acessorios,507.87,parcelado,5,7-3-2018
310,310,Ana Beatriz,Esteves,33,F,sapatos,38.36,parcelado,4,9-10-2019
311,311,Ana Beatriz,Faria,45,F,roupas,1412.61,parcelado,2,17-2-2019
312,312,Ana Beatriz,Faro,37,F,lencos,155.66,parcelado,2,9-1-2018
313,313,Ana Beatriz,Fontes,32,F,roupas,1209.90,avista,nan,19-4-2019
314,314,Ana Beatriz,Freire,26,F,roupas,367.94,avista,nan,4-8-2019
315,315,Ana Beatriz,Gama,49,F,roupas,228.41,avista,nan,25-2-2020
316,316,Ana Beatriz,Junqueira,23,F,chapeus,305.66,avista,nan,21-7-2020
317,317,Ana Beatriz,Leite,44,F,chapeus,494.20,parcelado,2,8-6-2019
318,318,Ana Beatriz,Lopes,31,F,roupas,1043.98,avista,nan,20-9-2019
319,319,Ana Beatriz,Mendes,54,F,chapeus,761.42,avista,nan,28-3-2019
320,320,Ana Beatriz,Morais,38,F,chapeus,1179.21,avista,nan,31-1-2018
321,321,Ana Beatriz,Martins,22,F,sapatos,1226.86,parcelado,2,28-7-2018
322,322,Ana Beatriz,Muniz,25,F,lencos,482.17,avista,nan,13-10-2019
323,323,Ana Beatriz,Neves,54,F,sapatos,389.46,avista,nan,12-2-2019
324,324,Ana Beatriz,Nunes,48,F,chapeus,846.95,avista,nan,4-3-2019
325,325,Ana Beatriz,Paes,29,F,chapeus,539.10,parcelado,3,23-4-2020
326,326,Ana Beatriz,Pires,44,F,acessorios,764.58,parcelado,4,10-9-2018
327,327,Ana Beatriz,Queiroz,19,F,roupas,1248.44,avista,nan,10-9-2020
328,328,Ana Beatriz,Reis,46,F,roupas,1195.51,parcelado,6,24-4-2019
329,329,Ana Beatriz,Rios,42,F,acessorios,494.94,parcelado,6,13-2-2018
330,330,Ana Beatriz,Serra,39,F,chapeus,1263.20,parcelado,2,10-1-2019
331,331,Ana Beatriz,Silva,26,F,roupas,819.01,parcelado,6,18-8-2019
332,332,Ana Beatriz,Sousa,25,F,roupas,740.55,avista,nan,21-5-2018
333,333,Ana Beatriz,Teles,18,F,roupas,1281.45,parcelado,3,4-12-2019
334,334,Ana Beatriz,Trindade,53,F,acessorios,998.27,avista,nan,27-3-2019
335,335,Ana Beatriz,Vaz,30,F,acessorios,1064.83,avista,nan,23-2-2018
336,336,Ana Cecilia,Abreu,19,F,roupas,108.54,parcelado,2,13-5-2019
337,337,Ana Cecilia,Aguiar,52,F,chapeus,1462.80,parcelado,4,12-5-2019
338,338,Ana Cecilia,Albuquerque,22,F,chapeus,462.99,avista,nan,7-9-2020
339,339,Ana Cecilia,Alencar,51,F,sapatos,187.62,parcelado,5,26-7-2020
340,340,Ana Cecilia,Almeida,26,F,roupas,925.80,avista,nan,20-6-2018
341,341,Ana Cecilia,Alvarenga,28,F,acessorios,832.02,parcelado,3,10-3-2019
342,342,Ana Cecilia,Alves,34,F,sapatos,918.90,parcelado,5,26-10-2019
